Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result,Match Date
Valorant Champions 2021,Group Stage,Opening (D),Vision Strikers vs FULL SENSE,Vision Strikers,FULL SENSE,2,0,Vision Strikers won,
Valorant Champions 2021,Group Stage,Opening (C),Team Vikings vs Crazy Raccoon,Team Vikings,Crazy Raccoon,2,0,Team Vikings won,
Valorant Champions 2021,Group Stage,Opening (D),FNATIC vs Cloud9,FNATIC,Cloud9,2,1,FNATIC won,
Valorant Champions 2021,Group Stage,Opening (C),Gambit Esports vs Team Secret,Gambit Esports,Team Secret,2,1,Gambit Esports won,
Valorant Champions 2021,Group Stage,Opening (B),Sentinels vs FURIA,Sentinels,FURIA,2,1,Sentinels won,
Valorant Champions 2021,Group Stage,Opening (B),KRÜ Esports vs Team Liquid,KRÜ Esports,Team Liquid,0,2,Team Liquid won,
Valorant Champions 2021,Group Stage,Winner's (D),Vision Strikers vs FNATIC,Vision Strikers,FNATIC,1,2,FNATIC won,
Valorant Champions 2021,Group Stage,Opening (A),ENVY vs X10 Esports,ENVY,X10 Esports,2,0,ENVY won,
Valorant Champions 2021,Group Stage,Winner's (C),Gambit Esports vs Team Vikings,Gambit Esports,Team Vikings,2,1,Gambit Esports won,
Valorant Champions 2021,Group Stage,Winner's (B),Team Liquid vs Sentinels,Team Liquid,Sentinels,2,1,Team Liquid won,
Valorant Champions 2021,Group Stage,Opening (A),Acend vs Keyd Stars,Acend,Keyd Stars,2,1,Acend won,
Valorant Champions 2021,Group Stage,Elimination (C),Team Secret vs Crazy Raccoon,Team Secret,Crazy Raccoon,2,0,Team Secret won,
Valorant Champions 2021,Group Stage,Elimination (B),KRÜ Esports vs FURIA,KRÜ Esports,FURIA,2,1,KRÜ Esports won,
Valorant Champions 2021,Group Stage,Elimination (D),FULL SENSE vs Cloud9,FULL SENSE,Cloud9,0,2,Cloud9 won,
Valorant Champions 2021,Group Stage,Winner's (A),Acend vs ENVY,Acend,ENVY,2,0,Acend won,
Valorant Champions 2021,Group Stage,Elimination (A),Keyd Stars vs X10 Esports,Keyd Stars,X10 Esports,0,2,X10 Esports won,
Valorant Champions 2021,Group Stage,Decider (B),Sentinels vs KRÜ Esports,Sentinels,KRÜ Esports,1,2,KRÜ Esports won,
Valorant Champions 2021,Group Stage,Decider (D),Vision Strikers vs Cloud9,Vision Strikers,Cloud9,1,2,Cloud9 won,
Valorant Champions 2021,Group Stage,Decider (C),Team Vikings vs Team Secret,Team Vikings,Team Secret,0,2,Team Secret won,
Valorant Champions 2021,Group Stage,Decider (A),ENVY vs X10 Esports,ENVY,X10 Esports,1,2,X10 Esports won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (A),Papara SuperMassive vs Acend,Papara SuperMassive,Acend,0,2,Acend won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Group D,G2 Esports vs F4Q,G2 Esports,F4Q,2,1,G2 Esports won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (C),100 Thieves vs Liberty,100 Thieves,Liberty,2,0,100 Thieves won,
Valorant Champions Tour Stage 3: Masters Berlin,Group Stage,Opening (A),Vision Strikers vs Paper Rex,Vision Strikers,Paper Rex,2,0,Vision Strikers won,
